도시,날짜,시간,요일,주말여부,계절,연도,월,자전거수요,temperature,precipitation,wind_speed
london,2023-01-01,0,6,1,winter,2023,1,808,,,
london,2023-01-01,1,6,1,winter,2023,1,990,,,
london,2023-01-01,2,6,1,winter,2023,1,655,,,
london,2023-01-01,3,6,1,winter,2023,1,426,,,
london,2023-01-01,4,6,1,winter,2023,1,248,,,
london,2023-01-01,5,6,1,winter,2023,1,121,,,
london,2023-01-01,6,6,1,winter,2023,1,89,,,
london,2023-01-01,7,6,1,winter,2023,1,114,,,
london,2023-01-01,8,6,1,winter,2023,1,125,,,
london,2023-01-01,9,6,1,winter,2023,1,241,,,
london,2023-01-01,10,6,1,winter,2023,1,311,,,
london,2023-01-01,11,6,1,winter,2023,1,517,,,
london,2023-01-01,12,6,1,winter,2023,1,666,,,
london,2023-01-01,13,6,1,winter,2023,1,702,,,
london,2023-01-01,14,6,1,winter,2023,1,833,,,
london,2023-01-01,15,6,1,winter,2023,1,845,,,
london,2023-01-01,16,6,1,winter,2023,1,662,,,
london,2023-01-01,17,6,1,winter,2023,1,412,,,
london,2023-01-01,18,6,1,winter,2023,1,322,,,
london,2023-01-01,19,6,1,winter,2023,1,207,,,
london,2023-01-01,20,6,1,winter,2023,1,165,,,
london,2023-01-01,21,6,1,winter,2023,1,152,,,
london,2023-01-01,22,6,1,winter,2023,1,142,,,
london,2023-01-01,23,6,1,winter,2023,1,95,,,
london,2023-01-02,0,0,0,winter,2023,1,88,15.0,50.0,3.5
london,2023-01-02,1,0,0,winter,2023,1,62,15.0,50.0,3.5
london,2023-01-02,2,0,0,winter,2023,1,44,15.0,50.0,3.5
london,2023-01-02,3,0,0,winter,2023,1,35,15.0,50.0,3.5
london,2023-01-02,4,0,0,winter,2023,1,30,15.0,50.0,3.5
london,2023-01-02,5,0,0,winter,2023,1,42,15.0,50.0,3.5
london,2023-01-02,6,0,0,winter,2023,1,88,15.0,50.0,3.5
london,2023-01-02,7,0,0,winter,2023,1,122,15.0,50.0,3.5
london,2023-01-02,8,0,0,winter,2023,1,249,15.0,50.0,3.5
london,2023-01-02,9,0,0,winter,2023,1,409,15.0,50.0,3.5
london,2023-01-02,10,0,0,winter,2023,1,677,15.0,50.0,3.5
london,2023-01-02,11,0,0,winter,2023,1,893,15.0,50.0,3.5
london,2023-01-02,12,0,0,winter,2023,1,1122,15.0,50.0,3.5
london,2023-01-02,13,0,0,winter,2023,1,1254,15.0,50.0,3.5
london,2023-01-02,14,0,0,winter,2023,1,1257,15.0,50.0,3.5
