city,country,latitude,longitude,year,month,pm25_ugm3,no2_ugm3,data_quality,measurement_method,data_source
London,UK,51.5074,-0.1278,2023,1,28.94,30.73,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,2,46.91,50.45,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,3,46.54,49.11,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,4,26.01,64.12,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,5,37.19,56.87,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,6,31.2,38.57,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,7,33.2,70.76,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,8,15.73,55.01,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,9,26.66,58.65,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,10,25.29,27.03,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,11,18.06,36.89,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2023,12,34.08,23.86,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,1,23.34,29.7,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,2,47.14,56.04,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,3,49.0,45.12,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,4,37.38,50.93,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,5,23.79,45.72,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,6,49.25,50.32,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,7,36.07,40.99,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,8,34.61,47.48,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,9,13.85,27.43,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,10,27.44,57.11,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,11,31.15,47.1,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2024,12,25.66,31.62,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,1,25.73,37.72,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,2,34.53,38.65,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,3,50.75,41.92,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,4,21.14,27.1,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,5,43.52,33.31,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,6,21.52,39.02,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,7,12.21,64.24,Moderate,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,8,26.88,35.07,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,9,20.1,61.91,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,10,24.79,37.55,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,11,19.62,22.56,Good,Federal Reference Method,WHO_Database
London,UK,51.5074,-0.1278,2025,12,16.68,42.35,Good,Federal Reference Method,WHO_Database
New York,USA,40.7128,-74.006,2023,1,18.47,25.8,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,2,14.57,36.09,Moderate,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,3,22.36,22.7,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,4,24.29,17.02,Good,Federal Reference Method,EPA_AQS
New York,USA,40.7128,-74.006,2023,5,33.8,40.04,Good,Federal Reference Method,EPA_AQS
