city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind,month_start
NYC,day,,2022-12-14,,2,0,winter,1,,,,,2022-12-01
NYC,day,,2022-12-28,,2,0,winter,4,,,,,2022-12-01
NYC,day,,2022-12-30,,4,0,winter,12,,,,,2022-12-01
NYC,day,,2022-12-31,,5,1,winter,259,,,,,2022-12-01
NYC,day,,2023-01-01,,6,1,winter,50642,,,,,2023-01-01
NYC,day,,2023-01-02,,0,0,winter,58241,,,,,2023-01-01
NYC,day,,2023-01-03,,1,0,winter,51789,,,,,2023-01-01
NYC,day,,2023-01-04,,2,0,winter,74454,,,,,2023-01-01
NYC,day,,2023-01-05,,3,0,winter,71440,,,,,2023-01-01
NYC,day,,2023-01-06,,4,0,winter,64752,,,,,2023-01-01
NYC,day,,2023-01-07,,5,1,winter,59158,,,,,2023-01-01
NYC,day,,2023-01-08,,6,1,winter,49454,,,,,2023-01-01
NYC,day,,2023-01-09,,0,0,winter,61588,,,,,2023-01-01
NYC,day,,2023-01-10,,1,0,winter,66674,,,,,2023-01-01
NYC,day,,2023-01-11,,2,0,winter,67100,,,,,2023-01-01
NYC,day,,2023-01-12,,3,0,winter,51491,,,,,2023-01-01
NYC,day,,2023-01-13,,4,0,winter,65274,,,,,2023-01-01
NYC,day,,2023-01-14,,5,1,winter,43527,,,,,2023-01-01
NYC,day,,2023-01-15,,6,1,winter,41091,,,,,2023-01-01
NYC,day,,2023-01-16,,0,0,winter,49763,,,,,2023-01-01
NYC,day,,2023-01-17,,1,0,winter,64872,,,,,2023-01-01
NYC,day,,2023-01-18,,2,0,winter,75820,,,,,2023-01-01
NYC,day,,2023-01-19,,3,0,winter,32358,,,,,2023-01-01
NYC,day,,2023-01-20,,4,0,winter,67532,,,,,2023-01-01
NYC,day,,2023-01-21,,5,1,winter,58192,,,,,2023-01-01
NYC,day,,2023-01-22,,6,1,winter,39438,,,,,2023-01-01
NYC,day,,2023-01-23,,0,0,winter,38417,,,,,2023-01-01
NYC,day,,2023-01-24,,1,0,winter,67647,,,,,2023-01-01
NYC,day,,2023-01-25,,2,0,winter,41868,,,,,2023-01-01
NYC,day,,2023-01-26,,3,0,winter,64439,,,,,2023-01-01
NYC,day,,2023-01-27,,4,0,winter,65614,,,,,2023-01-01
NYC,day,,2023-01-28,,5,1,winter,66819,,,,,2023-01-01
NYC,day,,2023-01-29,,6,1,winter,58041,,,,,2023-01-01
NYC,day,,2023-01-30,,0,0,winter,70436,,,,,2023-01-01
NYC,day,,2023-01-31,,1,0,winter,57398,,,,,2023-01-01
NYC,day,,2023-02-01,,2,0,winter,60429,,,,,2023-02-01
NYC,day,,2023-02-02,,3,0,winter,63159,,,,,2023-02-01
NYC,day,,2023-02-03,,4,0,winter,38062,,,,,2023-02-01
NYC,day,,2023-02-04,,5,1,winter,24810,,,,,2023-02-01
NYC,day,,2023-02-05,,6,1,winter,49842,,,,,2023-02-01
NYC,day,,2023-02-06,,0,0,winter,64834,,,,,2023-02-01
NYC,day,,2023-02-07,,1,0,winter,66106,,,,,2023-02-01
NYC,day,,2023-02-08,,2,0,winter,78636,,,,,2023-02-01
NYC,day,,2023-02-09,,3,0,winter,76063,,,,,2023-02-01
NYC,day,,2023-02-10,,4,0,winter,83968,,,,,2023-02-01
NYC,day,,2023-02-11,,5,1,winter,63800,,,,,2023-02-01
NYC,day,,2023-02-12,,6,1,winter,55662,,,,,2023-02-01
NYC,day,,2023-02-13,,0,0,winter,72025,,,,,2023-02-01
NYC,day,,2023-02-14,,1,0,winter,78221,,,,,2023-02-01
NYC,day,,2023-02-15,,2,0,winter,89040,,,,,2023-02-01
NYC,day,,2023-02-16,,3,0,winter,74622,,,,,2023-02-01
NYC,day,,2023-02-17,,4,0,winter,49586,,,,,2023-02-01
NYC,day,,2023-02-18,,5,1,winter,52125,,,,,2023-02-01
NYC,day,,2023-02-19,,6,1,winter,51309,,,,,2023-02-01
NYC,day,,2023-02-20,,0,0,winter,70881,,,,,2023-02-01
NYC,day,,2023-02-21,,1,0,winter,56225,,,,,2023-02-01
NYC,day,,2023-02-22,,2,0,winter,54430,,,,,2023-02-01
NYC,day,,2023-02-23,,3,0,winter,65595,,,,,2023-02-01
NYC,day,,2023-02-24,,4,0,winter,59603,,,,,2023-02-01
NYC,day,,2023-02-25,,5,1,winter,43325,,,,,2023-02-01
NYC,day,,2023-02-26,,6,1,winter,54677,,,,,2023-02-01
NYC,day,,2023-02-27,,0,0,winter,58387,,,,,2023-02-01
NYC,day,,2023-02-28,,1,0,winter,40679,,,,,2023-02-01
NYC,day,,2023-03-01,,2,0,spring,70245,,,,,2023-03-01
NYC,day,,2023-03-02,,3,0,spring,73762,,,,,2023-03-01
NYC,day,,2023-03-03,,4,0,spring,65344,,,,,2023-03-01
NYC,day,,2023-03-04,,5,1,spring,56830,,,,,2023-03-01
NYC,day,,2023-03-05,,6,1,spring,64785,,,,,2023-03-01
NYC,day,,2023-03-06,,0,0,spring,72655,,,,,2023-03-01
NYC,day,,2023-03-07,,1,0,spring,66677,,,,,2023-03-01
NYC,day,,2023-03-08,,2,0,spring,71677,,,,,2023-03-01
NYC,day,,2023-03-09,,3,0,spring,77315,,,,,2023-03-01
NYC,day,,2023-03-10,,4,0,spring,59459,,,,,2023-03-01
NYC,day,,2023-03-11,,5,1,spring,49164,,,,,2023-03-01
NYC,day,,2023-03-12,,6,1,spring,56572,,,,,2023-03-01
NYC,day,,2023-03-13,,0,0,spring,32823,,,,,2023-03-01
NYC,day,,2023-03-14,,1,0,spring,39389,,,,,2023-03-01
NYC,day,,2023-03-15,,2,0,spring,65666,,,,,2023-03-01
NYC,day,,2023-03-16,,3,0,spring,83552,,,,,2023-03-01
NYC,day,,2023-03-17,,4,0,spring,83168,,,,,2023-03-01
NYC,day,,2023-03-18,,5,1,spring,74884,,,,,2023-03-01
NYC,day,,2023-03-19,,6,1,spring,48544,,,,,2023-03-01
NYC,day,,2023-03-20,,0,0,spring,68951,,,,,2023-03-01
NYC,day,,2023-03-21,,1,0,spring,87909,,,,,2023-03-01
NYC,day,,2023-03-22,,2,0,spring,87108,,,,,2023-03-01
NYC,day,,2023-03-23,,3,0,spring,75326,,,,,2023-03-01
NYC,day,,2023-03-24,,4,0,spring,77837,,,,,2023-03-01
NYC,day,,2023-03-25,,5,1,spring,33016,,,,,2023-03-01
NYC,day,,2023-03-26,,6,1,spring,88017,,,,,2023-03-01
NYC,day,,2023-03-27,,0,0,spring,60781,,,,,2023-03-01
NYC,day,,2023-03-28,,1,0,spring,79728,,,,,2023-03-01
NYC,day,,2023-03-29,,2,0,spring,88659,,,,,2023-03-01
NYC,day,,2023-03-30,,3,0,spring,76572,,,,,2023-03-01
NYC,day,,2023-03-31,,4,0,spring,82899,,,,,2023-03-01
NYC,day,,2023-04-01,,5,1,spring,71017,,,,,2023-04-01
NYC,day,,2023-04-02,,6,1,spring,71359,,,,,2023-04-01
NYC,day,,2023-04-03,,0,0,spring,84497,,,,,2023-04-01
NYC,day,,2023-04-04,,1,0,spring,105089,,,,,2023-04-01
NYC,day,,2023-04-05,,2,0,spring,71909,,,,,2023-04-01
NYC,day,,2023-04-06,,3,0,spring,96521,,,,,2023-04-01
NYC,day,,2023-04-07,,4,0,spring,81409,,,,,2023-04-01
NYC,day,,2023-04-08,,5,1,spring,76972,,,,,2023-04-01
NYC,day,,2023-04-09,,6,1,spring,69977,,,,,2023-04-01
NYC,day,,2023-04-10,,0,0,spring,90059,,,,,2023-04-01
NYC,day,,2023-04-11,,1,0,spring,104068,,,,,2023-04-01
NYC,day,,2023-04-12,,2,0,spring,116111,,,,,2023-04-01
NYC,day,,2023-04-13,,3,0,spring,119084,,,,,2023-04-01
NYC,day,,2023-04-14,,4,0,spring,119795,,,,,2023-04-01
NYC,day,,2023-04-15,,5,1,spring,101347,,,,,2023-04-01
NYC,day,,2023-04-16,,6,1,spring,103606,,,,,2023-04-01
NYC,day,,2023-04-17,,0,0,spring,91483,,,,,2023-04-01
