city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
NYC,hour,2022-12-14 11:00:00,2022-12-14,11,2,0,winter,1,,,,
NYC,hour,2022-12-28 09:00:00,2022-12-28,9,2,0,winter,2,,,,
NYC,hour,2022-12-28 11:00:00,2022-12-28,11,2,0,winter,2,,,,
NYC,hour,2022-12-30 09:00:00,2022-12-30,9,4,0,winter,1,,,,
NYC,hour,2022-12-30 11:00:00,2022-12-30,11,4,0,winter,1,,,,
NYC,hour,2022-12-30 14:00:00,2022-12-30,14,4,0,winter,1,,,,
NYC,hour,2022-12-30 15:00:00,2022-12-30,15,4,0,winter,1,,,,
NYC,hour,2022-12-30 16:00:00,2022-12-30,16,4,0,winter,3,,,,
NYC,hour,2022-12-30 17:00:00,2022-12-30,17,4,0,winter,1,,,,
NYC,hour,2022-12-30 19:00:00,2022-12-30,19,4,0,winter,1,,,,
NYC,hour,2022-12-30 21:00:00,2022-12-30,21,4,0,winter,1,,,,
NYC,hour,2022-12-30 23:00:00,2022-12-30,23,4,0,winter,2,,,,
NYC,hour,2022-12-31 00:00:00,2022-12-31,0,5,1,winter,5,,,,
NYC,hour,2022-12-31 01:00:00,2022-12-31,1,5,1,winter,3,,,,
NYC,hour,2022-12-31 02:00:00,2022-12-31,2,5,1,winter,3,,,,
NYC,hour,2022-12-31 03:00:00,2022-12-31,3,5,1,winter,3,,,,
NYC,hour,2022-12-31 04:00:00,2022-12-31,4,5,1,winter,1,,,,
NYC,hour,2022-12-31 07:00:00,2022-12-31,7,5,1,winter,1,,,,
NYC,hour,2022-12-31 08:00:00,2022-12-31,8,5,1,winter,2,,,,
NYC,hour,2022-12-31 09:00:00,2022-12-31,9,5,1,winter,1,,,,
NYC,hour,2022-12-31 10:00:00,2022-12-31,10,5,1,winter,4,,,,
NYC,hour,2022-12-31 11:00:00,2022-12-31,11,5,1,winter,6,,,,
NYC,hour,2022-12-31 12:00:00,2022-12-31,12,5,1,winter,6,,,,
NYC,hour,2022-12-31 13:00:00,2022-12-31,13,5,1,winter,8,,,,
NYC,hour,2022-12-31 14:00:00,2022-12-31,14,5,1,winter,1,,,,
NYC,hour,2022-12-31 15:00:00,2022-12-31,15,5,1,winter,6,,,,
NYC,hour,2022-12-31 16:00:00,2022-12-31,16,5,1,winter,6,,,,
NYC,hour,2022-12-31 17:00:00,2022-12-31,17,5,1,winter,5,,,,
NYC,hour,2022-12-31 18:00:00,2022-12-31,18,5,1,winter,8,,,,
NYC,hour,2022-12-31 19:00:00,2022-12-31,19,5,1,winter,5,,,,
NYC,hour,2022-12-31 20:00:00,2022-12-31,20,5,1,winter,2,,,,
NYC,hour,2022-12-31 22:00:00,2022-12-31,22,5,1,winter,13,,,,
NYC,hour,2022-12-31 23:00:00,2022-12-31,23,5,1,winter,170,,,,
NYC,hour,2023-01-01 00:00:00,2023-01-01,0,6,1,winter,1059,,,,
NYC,hour,2023-01-01 01:00:00,2023-01-01,1,6,1,winter,1696,,,,
NYC,hour,2023-01-01 02:00:00,2023-01-01,2,6,1,winter,1629,,,,
NYC,hour,2023-01-01 03:00:00,2023-01-01,3,6,1,winter,1056,,,,
NYC,hour,2023-01-01 04:00:00,2023-01-01,4,6,1,winter,619,,,,
NYC,hour,2023-01-01 05:00:00,2023-01-01,5,6,1,winter,292,,,,
NYC,hour,2023-01-01 06:00:00,2023-01-01,6,6,1,winter,366,,,,
NYC,hour,2023-01-01 07:00:00,2023-01-01,7,6,1,winter,456,,,,
NYC,hour,2023-01-01 08:00:00,2023-01-01,8,6,1,winter,742,,,,
NYC,hour,2023-01-01 09:00:00,2023-01-01,9,6,1,winter,1269,,,,
NYC,hour,2023-01-01 10:00:00,2023-01-01,10,6,1,winter,1973,,,,
NYC,hour,2023-01-01 11:00:00,2023-01-01,11,6,1,winter,2665,,,,
NYC,hour,2023-01-01 12:00:00,2023-01-01,12,6,1,winter,3714,,,,
NYC,hour,2023-01-01 13:00:00,2023-01-01,13,6,1,winter,4318,,,,
NYC,hour,2023-01-01 14:00:00,2023-01-01,14,6,1,winter,4919,,,,
NYC,hour,2023-01-01 15:00:00,2023-01-01,15,6,1,winter,5210,,,,
NYC,hour,2023-01-01 16:00:00,2023-01-01,16,6,1,winter,4574,,,,
NYC,hour,2023-01-01 17:00:00,2023-01-01,17,6,1,winter,3411,,,,
NYC,hour,2023-01-01 18:00:00,2023-01-01,18,6,1,winter,2710,,,,
NYC,hour,2023-01-01 19:00:00,2023-01-01,19,6,1,winter,2244,,,,
NYC,hour,2023-01-01 20:00:00,2023-01-01,20,6,1,winter,1877,,,,
NYC,hour,2023-01-01 21:00:00,2023-01-01,21,6,1,winter,1501,,,,
NYC,hour,2023-01-01 22:00:00,2023-01-01,22,6,1,winter,1318,,,,
NYC,hour,2023-01-01 23:00:00,2023-01-01,23,6,1,winter,1024,,,,
NYC,hour,2023-01-02 00:00:00,2023-01-02,0,0,0,winter,714,,,,
NYC,hour,2023-01-02 01:00:00,2023-01-02,1,0,0,winter,378,,,,
NYC,hour,2023-01-02 02:00:00,2023-01-02,2,0,0,winter,251,,,,
NYC,hour,2023-01-02 03:00:00,2023-01-02,3,0,0,winter,157,,,,
NYC,hour,2023-01-02 04:00:00,2023-01-02,4,0,0,winter,160,,,,
NYC,hour,2023-01-02 05:00:00,2023-01-02,5,0,0,winter,294,,,,
NYC,hour,2023-01-02 06:00:00,2023-01-02,6,0,0,winter,591,,,,
