city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
NYC,month,,2022-12-01,,,,winter,276,,,,
NYC,month,,2023-01-01,,,,winter,1795329,,,,
NYC,month,,2023-02-01,,,,winter,1696101,,,,
NYC,month,,2023-03-01,,,,spring,2119314,,,,
NYC,month,,2023-04-01,,,,spring,2749360,,,,
NYC,month,,2023-05-01,,,,spring,3453576,,,,
NYC,month,,2023-06-01,,,,summer,3451869,,,,
NYC,month,,2023-07-01,,,,summer,3659372,,,,
NYC,month,,2023-08-01,,,,summer,3964206,,,,
NYC,month,,2023-09-01,,,,fall,3471658,,,,
NYC,month,,2023-10-01,,,,fall,3724615,,,,
NYC,month,,2023-11-01,,,,fall,2816850,,,,
NYC,month,,2023-12-01,,,,winter,2204460,,,,
