city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
London,hour,2025-01-01 00:00:00,2025-01-01,0,2,0,winter,769,,,,
London,hour,2025-01-01 01:00:00,2025-01-01,1,2,0,winter,696,,,,
London,hour,2025-01-01 02:00:00,2025-01-01,2,2,0,winter,360,,,,
London,hour,2025-01-01 03:00:00,2025-01-01,3,2,0,winter,200,,,,
London,hour,2025-01-01 04:00:00,2025-01-01,4,2,0,winter,162,,,,
London,hour,2025-01-01 05:00:00,2025-01-01,5,2,0,winter,92,,,,
London,hour,2025-01-01 06:00:00,2025-01-01,6,2,0,winter,75,,,,
London,hour,2025-01-01 07:00:00,2025-01-01,7,2,0,winter,86,,,,
London,hour,2025-01-01 08:00:00,2025-01-01,8,2,0,winter,130,,,,
London,hour,2025-01-01 09:00:00,2025-01-01,9,2,0,winter,177,,,,
London,hour,2025-01-01 10:00:00,2025-01-01,10,2,0,winter,246,,,,
London,hour,2025-01-01 11:00:00,2025-01-01,11,2,0,winter,232,,,,
London,hour,2025-01-01 12:00:00,2025-01-01,12,2,0,winter,142,,,,
London,hour,2025-01-01 13:00:00,2025-01-01,13,2,0,winter,124,,,,
London,hour,2025-01-01 14:00:00,2025-01-01,14,2,0,winter,150,,,,
London,hour,2025-01-01 15:00:00,2025-01-01,15,2,0,winter,161,,,,
London,hour,2025-01-01 16:00:00,2025-01-01,16,2,0,winter,183,,,,
London,hour,2025-01-01 17:00:00,2025-01-01,17,2,0,winter,250,,,,
London,hour,2025-01-01 18:00:00,2025-01-01,18,2,0,winter,246,,,,
London,hour,2025-01-01 19:00:00,2025-01-01,19,2,0,winter,239,,,,
London,hour,2025-01-01 20:00:00,2025-01-01,20,2,0,winter,201,,,,
London,hour,2025-01-01 21:00:00,2025-01-01,21,2,0,winter,194,,,,
London,hour,2025-01-01 22:00:00,2025-01-01,22,2,0,winter,149,,,,
London,hour,2025-01-01 23:00:00,2025-01-01,23,2,0,winter,140,,,,
London,hour,2025-01-02 00:00:00,2025-01-02,0,3,0,winter,288,,,,
London,hour,2025-01-02 01:00:00,2025-01-02,1,3,0,winter,197,,,,
London,hour,2025-01-02 02:00:00,2025-01-02,2,3,0,winter,149,,,,
London,hour,2025-01-02 03:00:00,2025-01-02,3,3,0,winter,89,,,,
London,hour,2025-01-02 04:00:00,2025-01-02,4,3,0,winter,70,,,,
London,hour,2025-01-02 05:00:00,2025-01-02,5,3,0,winter,73,,,,
London,hour,2025-01-02 06:00:00,2025-01-02,6,3,0,winter,121,,,,
London,hour,2025-01-02 07:00:00,2025-01-02,7,3,0,winter,263,,,,
London,hour,2025-01-02 08:00:00,2025-01-02,8,3,0,winter,593,,,,
London,hour,2025-01-02 09:00:00,2025-01-02,9,3,0,winter,874,,,,
