city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
Seoul,day,,2024-01-01,,0,0,winter,46628,,,,
Seoul,day,,2024-01-02,,1,0,winter,86401,,,,
Seoul,day,,2024-01-03,,2,0,winter,71808,,,,
Seoul,day,,2024-01-04,,3,0,winter,90108,,,,
Seoul,day,,2024-01-05,,4,0,winter,94927,,,,
Seoul,day,,2024-01-06,,5,1,winter,57180,,,,
Seoul,day,,2024-01-07,,6,1,winter,31453,,,,
Seoul,day,,2024-01-08,,0,0,winter,64954,,,,
Seoul,day,,2024-01-09,,1,0,winter,38225,,,,
Seoul,day,,2024-01-10,,2,0,winter,68182,,,,
Seoul,day,,2024-01-11,,3,0,winter,81574,,,,
Seoul,day,,2024-01-12,,4,0,winter,83980,,,,
Seoul,day,,2024-01-13,,5,1,winter,64103,,,,
Seoul,day,,2024-01-14,,6,1,winter,29012,,,,
Seoul,day,,2024-01-15,,0,0,winter,69544,,,,
Seoul,day,,2024-01-16,,1,0,winter,78773,,,,
Seoul,day,,2024-01-17,,2,0,winter,36751,,,,
Seoul,day,,2024-01-18,,3,0,winter,75781,,,,
Seoul,day,,2024-01-19,,4,0,winter,90533,,,,
Seoul,day,,2024-01-20,,5,1,winter,41784,,,,
Seoul,day,,2024-01-21,,6,1,winter,36990,,,,
Seoul,day,,2024-01-22,,0,0,winter,48141,,,,
Seoul,day,,2024-01-23,,1,0,winter,43598,,,,
Seoul,day,,2024-01-24,,2,0,winter,50773,,,,
Seoul,day,,2024-01-25,,3,0,winter,62375,,,,
Seoul,day,,2024-01-26,,4,0,winter,75067,,,,
Seoul,day,,2024-01-27,,5,1,winter,57701,,,,
Seoul,day,,2024-01-28,,6,1,winter,48386,,,,
Seoul,day,,2024-01-29,,0,0,winter,78804,,,,
Seoul,day,,2024-01-30,,1,0,winter,86601,,,,
Seoul,day,,2024-01-31,,2,0,winter,93214,,,,
Seoul,day,,2024-02-01,,3,0,winter,91544,,,,
Seoul,day,,2024-02-02,,4,0,winter,94974,,,,
Seoul,day,,2024-02-03,,5,1,winter,67695,,,,
Seoul,day,,2024-02-04,,6,1,winter,72953,,,,
Seoul,day,,2024-02-05,,0,0,winter,28210,,,,
Seoul,day,,2024-02-06,,1,0,winter,75271,,,,
Seoul,day,,2024-02-07,,2,0,winter,83375,,,,
Seoul,day,,2024-02-08,,3,0,winter,87766,,,,
Seoul,day,,2024-02-09,,4,0,winter,46882,,,,
Seoul,day,,2024-02-10,,5,1,winter,34185,,,,
Seoul,day,,2024-02-11,,6,1,winter,42844,,,,
Seoul,day,,2024-02-12,,0,0,winter,65447,,,,
Seoul,day,,2024-02-13,,1,0,winter,105499,,,,
Seoul,day,,2024-02-14,,2,0,winter,123164,,,,
Seoul,day,,2024-02-15,,3,0,winter,56314,,,,
Seoul,day,,2024-02-16,,4,0,winter,99958,,,,
Seoul,day,,2024-02-17,,5,1,winter,89419,,,,
Seoul,day,,2024-02-18,,6,1,winter,39094,,,,
Seoul,day,,2024-02-19,,0,0,winter,39918,,,,
Seoul,day,,2024-02-20,,1,0,winter,54441,,,,
Seoul,day,,2024-02-21,,2,0,winter,9619,,,,
Seoul,day,,2024-02-22,,3,0,winter,29138,,,,
Seoul,day,,2024-02-23,,4,0,winter,75743,,,,
Seoul,day,,2024-02-24,,5,1,winter,55705,,,,
Seoul,day,,2024-02-25,,6,1,winter,49385,,,,
Seoul,day,,2024-02-26,,0,0,winter,98027,,,,
Seoul,day,,2024-02-27,,1,0,winter,104192,,,,
Seoul,day,,2024-02-28,,2,0,winter,108938,,,,
Seoul,day,,2024-02-29,,3,0,winter,102015,,,,
Seoul,day,,2024-03-01,,4,0,spring,45204,,,,
Seoul,day,,2024-03-02,,5,1,spring,54616,,,,
Seoul,day,,2024-03-03,,6,1,spring,65373,,,,
Seoul,day,,2024-03-04,,0,0,spring,108123,,,,
Seoul,day,,2024-03-05,,1,0,spring,110781,,,,
Seoul,day,,2024-03-06,,2,0,spring,116840,,,,
Seoul,day,,2024-03-07,,3,0,spring,98089,,,,
Seoul,day,,2024-03-08,,4,0,spring,99708,,,,
Seoul,day,,2024-03-09,,5,1,spring,78186,,,,
Seoul,day,,2024-03-10,,6,1,spring,81205,,,,
Seoul,day,,2024-03-11,,0,0,spring,114642,,,,
Seoul,day,,2024-03-12,,1,0,spring,79702,,,,
Seoul,day,,2024-03-13,,2,0,spring,120871,,,,
Seoul,day,,2024-03-14,,3,0,spring,126960,,,,
Seoul,day,,2024-03-15,,4,0,spring,130984,,,,
Seoul,day,,2024-03-16,,5,1,spring,118337,,,,
Seoul,day,,2024-03-17,,6,1,spring,87958,,,,
Seoul,day,,2024-03-18,,0,0,spring,123585,,,,
Seoul,day,,2024-03-19,,1,0,spring,102650,,,,
Seoul,day,,2024-03-20,,2,0,spring,112271,,,,
Seoul,day,,2024-03-21,,3,0,spring,122109,,,,
Seoul,day,,2024-03-22,,4,0,spring,81659,,,,
Seoul,day,,2024-03-23,,5,1,spring,123505,,,,
Seoul,day,,2024-03-24,,6,1,spring,142056,,,,
Seoul,day,,2024-03-25,,0,0,spring,58731,,,,
Seoul,day,,2024-03-26,,1,0,spring,87493,,,,
Seoul,day,,2024-03-27,,2,0,spring,141397,,,,
Seoul,day,,2024-03-28,,3,0,spring,88262,,,,
Seoul,day,,2024-03-29,,4,0,spring,91985,,,,
Seoul,day,,2024-03-30,,5,1,spring,111705,,,,
Seoul,day,,2024-03-31,,6,1,spring,126243,,,,
Seoul,day,,2024-04-01,,0,0,spring,150002,,,,
Seoul,day,,2024-04-02,,1,0,spring,167903,,,,
Seoul,day,,2024-04-03,,2,0,spring,152464,,,,
Seoul,day,,2024-04-04,,3,0,spring,169116,,,,
Seoul,day,,2024-04-05,,4,0,spring,175780,,,,
Seoul,day,,2024-04-06,,5,1,spring,160694,,,,
Seoul,day,,2024-04-07,,6,1,spring,155134,,,,
Seoul,day,,2024-04-08,,0,0,spring,165760,,,,
Seoul,day,,2024-04-09,,1,0,spring,175200,,,,
Seoul,day,,2024-04-10,,2,0,spring,153280,,,,
Seoul,day,,2024-04-11,,3,0,spring,159020,,,,
Seoul,day,,2024-04-12,,4,0,spring,178590,,,,
Seoul,day,,2024-04-13,,5,1,spring,162840,,,,
Seoul,day,,2024-04-14,,6,1,spring,147697,,,,
Seoul,day,,2024-04-15,,0,0,spring,62443,,,,
