city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
NYC,month,,2023-12-01,,,,winter,410,,,,
NYC,month,,2024-01-01,,,,winter,1887908,,,,
NYC,month,,2024-02-01,,,,winter,2121506,,,,
NYC,month,,2024-03-01,,,,spring,2663416,,,,
NYC,month,,2024-04-01,,,,spring,3216957,,,,
NYC,month,,2024-05-01,,,,spring,4135049,,,,
NYC,month,,2024-06-01,,,,summer,4782935,,,,
NYC,month,,2024-07-01,,,,summer,4722952,,,,
NYC,month,,2024-08-01,,,,summer,4603942,,,,
NYC,month,,2024-09-01,,,,fall,4997288,,,,
NYC,month,,2024-10-01,,,,fall,5150717,,,,
NYC,month,,2024-11-01,,,,fall,3709229,,,,
NYC,month,,2024-12-01,,,,winter,2310900,,,,
