city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
NYC,hour,2024-12-30 23:00:00,2024-12-30,23,0,0,winter,1,,,,
NYC,hour,2024-12-31 00:00:00,2024-12-31,0,1,0,winter,1,,,,
NYC,hour,2024-12-31 10:00:00,2024-12-31,10,1,0,winter,1,,,,
NYC,hour,2024-12-31 11:00:00,2024-12-31,11,1,0,winter,1,,,,
NYC,hour,2024-12-31 12:00:00,2024-12-31,12,1,0,winter,2,,,,
NYC,hour,2024-12-31 13:00:00,2024-12-31,13,1,0,winter,7,,,,
NYC,hour,2024-12-31 14:00:00,2024-12-31,14,1,0,winter,7,,,,
NYC,hour,2024-12-31 15:00:00,2024-12-31,15,1,0,winter,4,,,,
NYC,hour,2024-12-31 17:00:00,2024-12-31,17,1,0,winter,1,,,,
NYC,hour,2024-12-31 18:00:00,2024-12-31,18,1,0,winter,3,,,,
NYC,hour,2024-12-31 19:00:00,2024-12-31,19,1,0,winter,5,,,,
NYC,hour,2024-12-31 20:00:00,2024-12-31,20,1,0,winter,2,,,,
NYC,hour,2024-12-31 21:00:00,2024-12-31,21,1,0,winter,1,,,,
NYC,hour,2024-12-31 22:00:00,2024-12-31,22,1,0,winter,2,,,,
NYC,hour,2024-12-31 23:00:00,2024-12-31,23,1,0,winter,169,,,,
NYC,hour,2025-01-01 00:00:00,2025-01-01,0,2,0,winter,1609,,,,
NYC,hour,2025-01-01 01:00:00,2025-01-01,1,2,0,winter,2703,,,,
NYC,hour,2025-01-01 02:00:00,2025-01-01,2,2,0,winter,2285,,,,
NYC,hour,2025-01-01 03:00:00,2025-01-01,3,2,0,winter,1347,,,,
NYC,hour,2025-01-01 04:00:00,2025-01-01,4,2,0,winter,761,,,,
NYC,hour,2025-01-01 05:00:00,2025-01-01,5,2,0,winter,427,,,,
NYC,hour,2025-01-01 06:00:00,2025-01-01,6,2,0,winter,583,,,,
NYC,hour,2025-01-01 07:00:00,2025-01-01,7,2,0,winter,748,,,,
NYC,hour,2025-01-01 08:00:00,2025-01-01,8,2,0,winter,977,,,,
NYC,hour,2025-01-01 09:00:00,2025-01-01,9,2,0,winter,1552,,,,
NYC,hour,2025-01-01 10:00:00,2025-01-01,10,2,0,winter,2327,,,,
