city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
London,hour,2024-01-01 00:00:00,2024-01-01,0,0,0,winter,759,,,,
London,hour,2024-01-01 01:00:00,2024-01-01,1,0,0,winter,979,,,,
London,hour,2024-01-01 02:00:00,2024-01-01,2,0,0,winter,532,,,,
London,hour,2024-01-01 03:00:00,2024-01-01,3,0,0,winter,275,,,,
London,hour,2024-01-01 04:00:00,2024-01-01,4,0,0,winter,198,,,,
London,hour,2024-01-01 05:00:00,2024-01-01,5,0,0,winter,108,,,,
London,hour,2024-01-01 06:00:00,2024-01-01,6,0,0,winter,94,,,,
London,hour,2024-01-01 07:00:00,2024-01-01,7,0,0,winter,95,,,,
London,hour,2024-01-01 08:00:00,2024-01-01,8,0,0,winter,153,,,,
London,hour,2024-01-01 09:00:00,2024-01-01,9,0,0,winter,244,,,,
London,hour,2024-01-01 10:00:00,2024-01-01,10,0,0,winter,336,,,,
London,hour,2024-01-01 11:00:00,2024-01-01,11,0,0,winter,498,,,,
London,hour,2024-01-01 12:00:00,2024-01-01,12,0,0,winter,588,,,,
London,hour,2024-01-01 13:00:00,2024-01-01,13,0,0,winter,674,,,,
London,hour,2024-01-01 14:00:00,2024-01-01,14,0,0,winter,694,,,,
London,hour,2024-01-01 15:00:00,2024-01-01,15,0,0,winter,611,,,,
London,hour,2024-01-01 16:00:00,2024-01-01,16,0,0,winter,337,,,,
London,hour,2024-01-01 17:00:00,2024-01-01,17,0,0,winter,283,,,,
London,hour,2024-01-01 18:00:00,2024-01-01,18,0,0,winter,202,,,,
London,hour,2024-01-01 19:00:00,2024-01-01,19,0,0,winter,161,,,,
London,hour,2024-01-01 20:00:00,2024-01-01,20,0,0,winter,119,,,,
London,hour,2024-01-01 21:00:00,2024-01-01,21,0,0,winter,80,,,,
London,hour,2024-01-01 22:00:00,2024-01-01,22,0,0,winter,90,,,,
London,hour,2024-01-01 23:00:00,2024-01-01,23,0,0,winter,55,,,,
London,hour,2024-01-02 00:00:00,2024-01-02,0,1,0,winter,124,,,,
London,hour,2024-01-02 01:00:00,2024-01-02,1,1,0,winter,76,,,,
London,hour,2024-01-02 02:00:00,2024-01-02,2,1,0,winter,51,,,,
London,hour,2024-01-02 03:00:00,2024-01-02,3,1,0,winter,23,,,,
London,hour,2024-01-02 04:00:00,2024-01-02,4,1,0,winter,47,,,,
London,hour,2024-01-02 05:00:00,2024-01-02,5,1,0,winter,139,,,,
London,hour,2024-01-02 06:00:00,2024-01-02,6,1,0,winter,607,,,,
London,hour,2024-01-02 07:00:00,2024-01-02,7,1,0,winter,1742,,,,
London,hour,2024-01-02 08:00:00,2024-01-02,8,1,0,winter,3416,,,,
London,hour,2024-01-02 09:00:00,2024-01-02,9,1,0,winter,1840,,,,
London,hour,2024-01-02 10:00:00,2024-01-02,10,1,0,winter,1065,,,,
London,hour,2024-01-02 11:00:00,2024-01-02,11,1,0,winter,872,,,,
London,hour,2024-01-02 12:00:00,2024-01-02,12,1,0,winter,1043,,,,
London,hour,2024-01-02 13:00:00,2024-01-02,13,1,0,winter,1032,,,,
London,hour,2024-01-02 14:00:00,2024-01-02,14,1,0,winter,962,,,,
London,hour,2024-01-02 15:00:00,2024-01-02,15,1,0,winter,1326,,,,
London,hour,2024-01-02 16:00:00,2024-01-02,16,1,0,winter,2227,,,,
London,hour,2024-01-02 17:00:00,2024-01-02,17,1,0,winter,3946,,,,
London,hour,2024-01-02 18:00:00,2024-01-02,18,1,0,winter,3634,,,,
London,hour,2024-01-02 19:00:00,2024-01-02,19,1,0,winter,2173,,,,
London,hour,2024-01-02 20:00:00,2024-01-02,20,1,0,winter,1423,,,,
London,hour,2024-01-02 21:00:00,2024-01-02,21,1,0,winter,1068,,,,
London,hour,2024-01-02 22:00:00,2024-01-02,22,1,0,winter,785,,,,
London,hour,2024-01-02 23:00:00,2024-01-02,23,1,0,winter,476,,,,
London,hour,2024-01-03 00:00:00,2024-01-03,0,2,0,winter,301,,,,
London,hour,2024-01-03 01:00:00,2024-01-03,1,2,0,winter,133,,,,
London,hour,2024-01-03 02:00:00,2024-01-03,2,2,0,winter,87,,,,
London,hour,2024-01-03 03:00:00,2024-01-03,3,2,0,winter,44,,,,
London,hour,2024-01-03 04:00:00,2024-01-03,4,2,0,winter,90,,,,
London,hour,2024-01-03 05:00:00,2024-01-03,5,2,0,winter,252,,,,
London,hour,2024-01-03 06:00:00,2024-01-03,6,2,0,winter,946,,,,
London,hour,2024-01-03 07:00:00,2024-01-03,7,2,0,winter,1627,,,,
London,hour,2024-01-03 08:00:00,2024-01-03,8,2,0,winter,2971,,,,
London,hour,2024-01-03 09:00:00,2024-01-03,9,2,0,winter,2097,,,,
London,hour,2024-01-03 10:00:00,2024-01-03,10,2,0,winter,1422,,,,
London,hour,2024-01-03 11:00:00,2024-01-03,11,2,0,winter,1271,,,,
London,hour,2024-01-03 12:00:00,2024-01-03,12,2,0,winter,1551,,,,
London,hour,2024-01-03 13:00:00,2024-01-03,13,2,0,winter,1724,,,,
London,hour,2024-01-03 14:00:00,2024-01-03,14,2,0,winter,1710,,,,
London,hour,2024-01-03 15:00:00,2024-01-03,15,2,0,winter,1763,,,,
London,hour,2024-01-03 16:00:00,2024-01-03,16,2,0,winter,2402,,,,
London,hour,2024-01-03 17:00:00,2024-01-03,17,2,0,winter,3121,,,,
London,hour,2024-01-03 18:00:00,2024-01-03,18,2,0,winter,2345,,,,
London,hour,2024-01-03 19:00:00,2024-01-03,19,2,0,winter,1536,,,,
London,hour,2024-01-03 20:00:00,2024-01-03,20,2,0,winter,1108,,,,
London,hour,2024-01-03 21:00:00,2024-01-03,21,2,0,winter,831,,,,
London,hour,2024-01-03 22:00:00,2024-01-03,22,2,0,winter,668,,,,
London,hour,2024-01-03 23:00:00,2024-01-03,23,2,0,winter,502,,,,
London,hour,2024-01-04 00:00:00,2024-01-04,0,3,0,winter,298,,,,
London,hour,2024-01-04 01:00:00,2024-01-04,1,3,0,winter,184,,,,
London,hour,2024-01-04 02:00:00,2024-01-04,2,3,0,winter,110,,,,
London,hour,2024-01-04 03:00:00,2024-01-04,3,3,0,winter,60,,,,
London,hour,2024-01-04 04:00:00,2024-01-04,4,3,0,winter,84,,,,
London,hour,2024-01-04 05:00:00,2024-01-04,5,3,0,winter,195,,,,
London,hour,2024-01-04 06:00:00,2024-01-04,6,3,0,winter,601,,,,
London,hour,2024-01-04 07:00:00,2024-01-04,7,3,0,winter,1465,,,,
London,hour,2024-01-04 08:00:00,2024-01-04,8,3,0,winter,2774,,,,
London,hour,2024-01-04 09:00:00,2024-01-04,9,3,0,winter,1908,,,,
London,hour,2024-01-04 10:00:00,2024-01-04,10,3,0,winter,1795,,,,
London,hour,2024-01-04 11:00:00,2024-01-04,11,3,0,winter,2035,,,,
London,hour,2024-01-04 12:00:00,2024-01-04,12,3,0,winter,2308,,,,
London,hour,2024-01-04 13:00:00,2024-01-04,13,3,0,winter,2255,,,,
London,hour,2024-01-04 14:00:00,2024-01-04,14,3,0,winter,2226,,,,
London,hour,2024-01-04 15:00:00,2024-01-04,15,3,0,winter,2079,,,,
London,hour,2024-01-04 16:00:00,2024-01-04,16,3,0,winter,1815,,,,
London,hour,2024-01-04 17:00:00,2024-01-04,17,3,0,winter,2087,,,,
London,hour,2024-01-04 18:00:00,2024-01-04,18,3,0,winter,1910,,,,
London,hour,2024-01-04 19:00:00,2024-01-04,19,3,0,winter,1334,,,,
London,hour,2024-01-04 20:00:00,2024-01-04,20,3,0,winter,994,,,,
London,hour,2024-01-04 21:00:00,2024-01-04,21,3,0,winter,760,,,,
London,hour,2024-01-04 22:00:00,2024-01-04,22,3,0,winter,598,,,,
London,hour,2024-01-04 23:00:00,2024-01-04,23,3,0,winter,360,,,,
London,hour,2024-01-05 00:00:00,2024-01-05,0,4,0,winter,211,,,,
London,hour,2024-01-05 01:00:00,2024-01-05,1,4,0,winter,89,,,,
London,hour,2024-01-05 02:00:00,2024-01-05,2,4,0,winter,79,,,,
London,hour,2024-01-05 03:00:00,2024-01-05,3,4,0,winter,50,,,,
London,hour,2024-01-05 04:00:00,2024-01-05,4,4,0,winter,79,,,,
London,hour,2024-01-05 05:00:00,2024-01-05,5,4,0,winter,244,,,,
London,hour,2024-01-05 06:00:00,2024-01-05,6,4,0,winter,1087,,,,
London,hour,2024-01-05 07:00:00,2024-01-05,7,4,0,winter,2881,,,,
London,hour,2024-01-05 08:00:00,2024-01-05,8,4,0,winter,5265,,,,
London,hour,2024-01-05 09:00:00,2024-01-05,9,4,0,winter,2910,,,,
London,hour,2024-01-05 10:00:00,2024-01-05,10,4,0,winter,1781,,,,
London,hour,2024-01-05 11:00:00,2024-01-05,11,4,0,winter,1790,,,,
London,hour,2024-01-05 12:00:00,2024-01-05,12,4,0,winter,2088,,,,
London,hour,2024-01-05 13:00:00,2024-01-05,13,4,0,winter,2126,,,,
London,hour,2024-01-05 14:00:00,2024-01-05,14,4,0,winter,1990,,,,
London,hour,2024-01-05 15:00:00,2024-01-05,15,4,0,winter,2237,,,,
London,hour,2024-01-05 16:00:00,2024-01-05,16,4,0,winter,2977,,,,
London,hour,2024-01-05 17:00:00,2024-01-05,17,4,0,winter,4972,,,,
London,hour,2024-01-05 18:00:00,2024-01-05,18,4,0,winter,4759,,,,
London,hour,2024-01-05 19:00:00,2024-01-05,19,4,0,winter,2764,,,,
London,hour,2024-01-05 20:00:00,2024-01-05,20,4,0,winter,1889,,,,
London,hour,2024-01-05 21:00:00,2024-01-05,21,4,0,winter,1330,,,,
