city,time_grain,datetime,date,hour,weekday,is_weekend,season,bike_count,temp,rain,humidity,wind
Seoul,day,,2025-01-01,,2,0,winter,48645,,,,
Seoul,day,,2025-01-02,,3,0,winter,77718,,,,
Seoul,day,,2025-01-03,,4,0,winter,77053,,,,
Seoul,day,,2025-01-04,,5,1,winter,56597,,,,
Seoul,day,,2025-01-05,,6,1,winter,19712,,,,
Seoul,day,,2025-01-06,,0,0,winter,62525,,,,
Seoul,day,,2025-01-07,,1,0,winter,68411,,,,
Seoul,day,,2025-01-08,,2,0,winter,66720,,,,
Seoul,day,,2025-01-09,,3,0,winter,47971,,,,
Seoul,day,,2025-01-10,,4,0,winter,54569,,,,
Seoul,day,,2025-01-11,,5,1,winter,42552,,,,
Seoul,day,,2025-01-12,,6,1,winter,38308,,,,
Seoul,day,,2025-01-13,,0,0,winter,50945,,,,
Seoul,day,,2025-01-14,,1,0,winter,61057,,,,
Seoul,day,,2025-01-15,,2,0,winter,64305,,,,
Seoul,day,,2025-01-16,,3,0,winter,68299,,,,
Seoul,day,,2025-01-17,,4,0,winter,73521,,,,
Seoul,day,,2025-01-18,,5,1,winter,56933,,,,
Seoul,day,,2025-01-19,,6,1,winter,51398,,,,
Seoul,day,,2025-01-20,,0,0,winter,76911,,,,
Seoul,day,,2025-01-21,,1,0,winter,76568,,,,
Seoul,day,,2025-01-22,,2,0,winter,80528,,,,
Seoul,day,,2025-01-23,,3,0,winter,81308,,,,
Seoul,day,,2025-01-24,,4,0,winter,85272,,,,
Seoul,day,,2025-01-25,,5,1,winter,63695,,,,
Seoul,day,,2025-01-26,,6,1,winter,49384,,,,
Seoul,day,,2025-01-27,,0,0,winter,16746,,,,
Seoul,day,,2025-01-28,,1,0,winter,15070,,,,
Seoul,day,,2025-01-29,,2,0,winter,16398,,,,
Seoul,day,,2025-01-30,,3,0,winter,28784,,,,
Seoul,day,,2025-01-31,,4,0,winter,26433,,,,
Seoul,day,,2025-02-01,,5,1,winter,42902,,,,
Seoul,day,,2025-02-02,,6,1,winter,47226,,,,
Seoul,day,,2025-02-03,,0,0,winter,58107,,,,
Seoul,day,,2025-02-04,,1,0,winter,49334,,,,
Seoul,day,,2025-02-05,,2,0,winter,50837,,,,
Seoul,day,,2025-02-06,,3,0,winter,37910,,,,
Seoul,day,,2025-02-07,,4,0,winter,25539,,,,
Seoul,day,,2025-02-08,,5,1,winter,29054,,,,
Seoul,day,,2025-02-09,,6,1,winter,30725,,,,
Seoul,day,,2025-02-10,,0,0,winter,59309,,,,
Seoul,day,,2025-02-11,,1,0,winter,70893,,,,
Seoul,day,,2025-02-12,,2,0,winter,35468,,,,
Seoul,day,,2025-02-13,,3,0,winter,68750,,,,
Seoul,day,,2025-02-14,,4,0,winter,79247,,,,
Seoul,day,,2025-02-15,,5,1,winter,60415,,,,
Seoul,day,,2025-02-16,,6,1,winter,53214,,,,
Seoul,day,,2025-02-17,,0,0,winter,68698,,,,
Seoul,day,,2025-02-18,,1,0,winter,66571,,,,
Seoul,day,,2025-02-19,,2,0,winter,65350,,,,
Seoul,day,,2025-02-20,,3,0,winter,65458,,,,
Seoul,day,,2025-02-21,,4,0,winter,66490,,,,
Seoul,day,,2025-02-22,,5,1,winter,49412,,,,
Seoul,day,,2025-02-23,,6,1,winter,37830,,,,
Seoul,day,,2025-02-24,,0,0,winter,68743,,,,
Seoul,day,,2025-02-25,,1,0,winter,75271,,,,
Seoul,day,,2025-02-26,,2,0,winter,81379,,,,
Seoul,day,,2025-02-27,,3,0,winter,91203,,,,
Seoul,day,,2025-02-28,,4,0,winter,94205,,,,
Seoul,day,,2025-03-01,,5,1,spring,58921,,,,
Seoul,day,,2025-03-02,,6,1,spring,32851,,,,
Seoul,day,,2025-03-03,,0,0,spring,45445,,,,
Seoul,day,,2025-03-04,,1,0,spring,52217,,,,
